,Date
711,2021-01-29
712,2021-01-29
713,2021-01-29
714,2021-01-29
715,2021-01-29
716,2021-01-29
717,2021-01-29
718,2021-01-29
719,2021-01-29
720,2021-01-29
721,2021-01-29
722,2021-01-29
723,2021-01-29
724,2021-01-29
725,2021-01-29
726,2021-01-29
727,2021-01-29
728,2021-01-29
729,2021-01-29
730,2021-01-29
731,2021-01-29
732,2021-01-29
733,2021-01-29
734,2021-01-29
735,2021-01-29
736,2021-01-29
737,2021-01-29
738,2021-01-29
739,2021-01-29
740,2021-01-29
741,2021-01-29
742,2021-01-29
743,2021-01-29
744,2021-01-29
745,2021-01-29
746,2021-01-29
747,2021-01-29
748,2021-01-29
749,2021-01-29
750,2021-01-29
751,2021-01-29
752,2021-01-29
753,2021-01-29
754,2021-01-29
755,2021-01-29
756,2021-01-29
757,2021-01-29
758,2021-01-29
759,2021-01-29
760,2021-01-29
761,2021-01-29
762,2021-01-29
763,2021-01-29
764,2021-01-29
765,2021-01-29
766,2021-01-29
767,2021-01-29
768,2021-01-29
769,2021-01-29
770,2021-01-29
771,2021-01-29
772,2021-01-29
773,2021-01-29
774,2021-01-29
775,2021-01-29
776,2021-01-29
777,2021-01-29
778,2021-01-29
779,2021-01-29
780,2021-01-29
781,2021-01-29
782,2021-01-29
783,2021-01-29
784,2021-01-29
785,2021-01-29
786,2021-01-29
787,2021-01-29
788,2021-01-29
789,2021-01-29
790,2021-01-29
791,2021-01-29
792,2021-01-29
793,2021-01-29
794,2021-01-29
795,2021-01-29
796,2021-01-29
797,2021-01-29
798,2021-01-29
799,2021-01-29
800,2021-01-29
801,2021-01-29
802,2021-01-29
803,2021-01-29
804,2021-01-29
805,2021-01-29
806,2021-01-29
807,2021-01-29
808,2021-01-29
809,2021-01-29
810,2021-01-29
811,2021-01-29
812,2021-01-29
813,2021-01-29
814,2021-01-29
815,2021-01-29
816,2021-01-29
817,2021-01-29
818,2021-01-29
819,2021-01-29
820,2021-01-29
821,2021-01-29
822,2021-01-29
823,2021-01-29
824,2021-01-29
825,2021-01-29
826,2021-01-29
827,2021-01-29
828,2021-01-29
829,2021-01-29
830,2021-01-29
831,2021-01-29
832,2021-01-29
833,2021-01-29
834,2021-01-29
835,2021-01-29
836,2021-01-29
837,2021-01-29
838,2021-01-29
839,2021-01-29
840,2021-01-29
841,2021-01-29
842,2021-01-29
843,2021-01-29
844,2021-01-29
845,2021-01-29
846,2021-01-29
847,2021-01-28
848,2021-01-28
849,2021-01-28
850,2021-01-28
851,2021-01-28
852,2021-01-28
853,2021-01-28
854,2021-01-28
855,2021-01-28
856,2021-01-28
857,2021-01-28
858,2021-01-28
859,2021-01-28
860,2021-01-28
861,2021-01-28
862,2021-01-28
863,2021-01-28
864,2021-01-28
865,2021-01-28
866,2021-01-28
867,2021-01-28
868,2021-01-28
869,2021-01-28
870,2021-01-28
871,2021-01-28
872,2021-01-28
873,2021-01-28
874,2021-01-28
875,2021-01-28
876,2021-01-28
877,2021-01-28
878,2021-01-28
879,2021-01-28
880,2021-01-28
881,2021-01-28
882,2021-01-28
883,2021-01-28
884,2021-01-28
885,2021-01-28
886,2021-01-28
887,2021-01-28
888,2021-01-28
889,2021-01-28
890,2021-01-28
891,2021-01-28
892,2021-01-28
893,2021-01-28
894,2021-01-28
895,2021-01-28
896,2021-01-28
897,2021-01-28
898,2021-01-28
899,2021-01-28
900,2021-01-28
901,2021-01-28
902,2021-01-28
903,2021-01-28
904,2021-01-28
905,2021-01-28
906,2021-01-28
907,2021-01-28
908,2021-01-28
909,2021-01-28
910,2021-01-28
911,2021-01-28
912,2021-01-28
913,2021-01-28
914,2021-01-28
915,2021-01-28
916,2021-01-28
917,2021-01-28
918,2021-01-28
919,2021-01-28
920,2021-01-28
921,2021-01-28
922,2021-01-28
923,2021-01-28
924,2021-01-28
925,2021-01-28
926,2021-01-28
927,2021-01-28
928,2021-01-28
929,2021-01-28
930,2021-01-28
931,2021-01-28
932,2021-01-28
933,2021-01-28
934,2021-01-28
935,2021-01-28
936,2021-01-28
937,2021-01-28
938,2021-01-28
939,2021-01-28
940,2021-01-28
941,2021-01-28
942,2021-01-28
943,2021-01-28
944,2021-01-28
945,2021-01-28
946,2021-01-28
947,2021-01-28
948,2021-01-28
949,2021-01-28
950,2021-01-28
951,2021-01-28
952,2021-01-28
953,2021-01-28
954,2021-01-28
955,2021-01-28
956,2021-01-28
957,2021-01-28
958,2021-01-28
959,2021-01-27
960,2021-01-26
961,2021-01-27
962,2021-01-27
963,2021-01-27
964,2021-01-27
965,2021-01-27
966,2021-01-27
967,2021-01-27
968,2021-01-27
969,2021-01-27
970,2021-01-27
971,2021-01-27
972,2021-01-27
973,2021-01-27
974,2021-01-27
975,2021-01-27
976,2021-01-27
977,2021-01-27
978,2021-01-27
979,2021-01-27
980,2021-01-27
981,2021-01-27
982,2021-01-27
983,2021-01-27
984,2021-01-27
985,2021-01-27
986,2021-01-27
987,2021-01-27
988,2021-01-27
989,2021-01-27
990,2021-01-27
991,2021-01-27
992,2021-01-27
993,2021-01-27
994,2021-01-27
995,2021-01-27
996,2021-01-27
997,2021-01-27
998,2021-01-27
999,2021-01-27
1000,2021-01-27
1001,2021-01-27
1002,2021-01-27
1003,2021-01-27
1004,2021-01-27
1005,2021-01-27
1006,2021-01-27
1007,2021-01-27
1008,2021-01-27
1009,2021-01-27
1010,2021-01-27
1011,2021-01-27
1012,2021-01-27
1013,2021-01-27
1014,2021-01-27
1015,2021-01-27
1016,2021-01-27
1017,2021-01-27
1018,2021-01-27
1019,2021-01-27
1020,2021-01-27
1021,2021-01-27
1022,2021-01-27
1023,2021-01-27
1024,2021-01-27
1025,2021-01-27
1026,2021-01-27
1027,2021-01-27
1028,2021-01-27
1029,2021-01-27
1030,2021-01-27
1031,2021-01-27
1032,2021-01-27
1033,2021-01-27
1034,2021-01-27
1035,2021-01-27
1036,2021-01-27
1037,2021-01-27
1038,2021-01-27
1039,2021-01-27
1040,2021-01-27
1041,2021-01-27
1042,2021-01-27
1043,2021-01-27
1044,2021-01-27
1045,2021-01-27
1046,2021-01-27
1047,2021-01-27
1048,2021-01-27
1049,2021-01-27
1050,2021-01-27
1051,2021-01-27
1052,2021-01-27
1053,2021-01-27
1054,2021-01-27
1055,2021-01-27
1056,2021-01-27
1057,2021-01-27
1058,2021-01-27
1059,2021-01-27
1060,2021-01-27
1061,2021-01-27
1062,2021-01-27
1063,2021-01-27
1064,2021-01-25
1065,2021-01-26
1066,2021-01-26
1067,2021-01-26
1068,2021-01-26
1069,2021-01-26
1070,2021-01-26
1071,2021-01-26
1072,2021-01-26
1073,2021-01-26
1074,2021-01-26
1075,2021-01-26
1076,2021-01-26
1077,2021-01-26
1078,2021-01-26
1079,2021-01-26
1080,2021-01-26
1081,2021-01-26
1082,2021-01-26
1083,2021-01-26
1084,2021-01-26
1085,2021-01-26
1086,2021-01-26
1087,2021-01-26
1088,2021-01-26
1089,2021-01-26
1090,2021-01-26
1091,2021-01-26
1092,2021-01-26
1093,2021-01-26
1094,2021-01-26
1095,2021-01-26
1096,2021-01-26
1097,2021-01-26
1098,2021-01-26
1099,2021-01-26
1100,2021-01-26
1101,2021-01-26
1102,2021-01-26
1103,2021-01-26
1104,2021-01-26
1105,2021-01-26
1106,2021-01-26
1107,2021-01-26
1108,2021-01-26
1109,2021-01-26
1110,2021-01-26
1111,2021-01-26
1112,2021-01-26
1113,2021-01-26
1114,2021-01-26
1115,2021-01-26
1116,2021-01-26
1117,2021-01-26
1118,2021-01-26
1119,2021-01-26
1120,2021-01-26
1121,2021-01-26
1122,2021-01-26
1123,2021-01-26
1124,2021-01-26
1125,2021-01-26
1126,2021-01-26
1127,2021-01-26
1128,2021-01-26
1129,2021-01-26
1130,2021-01-26
1131,2021-01-26
1132,2021-01-26
1133,2021-01-26
1134,2021-01-26
1135,2021-01-26
1136,2021-01-26
1137,2021-01-26
1138,2021-01-26
1139,2021-01-26
1140,2021-01-26
1141,2021-01-26
1142,2021-01-26
1143,2021-01-26
1144,2021-01-26
1145,2021-01-26
1146,2021-01-26
1147,2021-01-26
1148,2021-01-26
1149,2021-01-26
1150,2021-01-26
1151,2021-01-26
1152,2021-01-26
1153,2021-01-26
1154,2021-01-26
1155,2021-01-26
1156,2021-01-26
1157,2021-01-26
1158,2021-01-26
1159,2021-01-26
1160,2021-01-26
1161,2021-01-26
1162,2021-01-26
1163,2021-01-26
1164,2021-01-26
1165,2021-01-26
1166,2021-01-26
1167,2021-01-26
1168,2021-01-26
1169,2021-01-26
1170,2021-01-26
1171,2021-01-26
1172,2021-01-26
1173,2021-01-26
1174,2021-01-26
1175,2021-01-26
1176,2021-01-26
1177,2021-01-26
1178,2021-01-26
1179,2021-01-26
1180,2021-01-26
1181,2021-01-26
1182,2021-01-26
1183,2021-01-26
1184,2021-01-26
1185,2021-01-26
1186,2021-01-26
1187,2021-01-26
1188,2021-01-26
1189,2021-01-26
1190,2021-01-26
1191,2021-01-26
1192,2021-01-26
1193,2021-01-25
1194,2021-01-25
1195,2020-12-16
1196,2021-01-22
1197,2020-11-23
1198,2021-01-25
1199,2021-01-25
1200,2021-01-25
